,id,first_name,last_name,party,district,state,total_votes,missed_votes,seniority,missed_votes_pct,votes_with_party_pct,State_Disct
328,P000598,Jared,Polis,D,2,CO,1212.0,175.0,10,14.44,90.45,CO-2
329,P000602,Mike,Pompeo,R,4,KS,61.0,59.0,8,96.72,0.0,KS-4
330,P000599,Bill,Posey,R,8,FL,1212.0,111.0,10,9.16,95.0,FL-8
331,P000591,Tom,Price,R,6,GA,85.0,82.0,14,96.47,33.33,GA-6
332,P000523,David,Price,D,4,NC,1212.0,26.0,30,2.15,96.12,NC-4
333,Q000023,Mike,Quigley,D,5,IL,1212.0,42.0,10,3.47,95.64,IL-5
334,R000600,Amata,Radewagen,R,At-Large,AS,0.0,,4,,,AS-At-Large
335,R000606,Jamie,Raskin,D,8,MD,1212.0,10.0,2,0.83,94.43,MD-8
336,R000601,John,Ratcliffe,R,4,TX,1212.0,81.0,4,6.68,94.16,TX-4
337,R000585,Tom,Reed,R,23,NY,1212.0,23.0,10,1.9,91.17,NY-23
338,R000578,Dave,Reichert,R,8,WA,1212.0,39.0,14,3.22,91.22,WA-8
339,R000586,Jim,Renacci,R,16,OH,1212.0,150.0,8,12.38,93.6,OH-16
340,R000597,Tom,Rice,R,7,SC,1212.0,23.0,6,1.9,94.37,SC-7
341,R000602,Kathleen,Rice,D,4,NY,1212.0,68.0,4,5.61,92.66,NY-4
342,R000588,Cedric,Richmond,D,2,LA,1212.0,138.0,8,11.39,93.3,LA-2
343,R000591,Martha,Roby,R,2,AL,1212.0,37.0,8,3.05,97.19,AL-2
344,R000582,Phil,Roe,R,1,TN,1212.0,7.0,10,0.58,96.93,TN-1
345,R000395,Harold,Rogers,R,5,KY,1212.0,82.0,38,6.77,96.73,KY-5
346,R000575,Mike,Rogers,R,3,AL,1212.0,19.0,18,1.57,93.63,AL-3
347,R000409,Dana,Rohrabacher,R,48,CA,1212.0,112.0,30,9.24,91.82,CA-48
348,R000592,Todd,Rokita,R,4,IN,1212.0,42.0,8,3.47,93.68,IN-4
349,R000607,Francis,Rooney,R,19,FL,1212.0,122.0,2,10.07,96.61,FL-19
350,R000583,Tom,Rooney,R,17,FL,1212.0,176.0,10,14.52,95.75,FL-17
351,R000435,Ileana,Ros-Lehtinen,R,27,FL,1212.0,156.0,30,12.87,85.23,FL-27
352,R000608,Jacky,Rosen,D,3,NV,1212.0,96.0,2,7.92,88.89,NV-3
353,R000580,Peter,Roskam,R,6,IL,1212.0,80.0,12,6.6,92.93,IL-6
354,R000593,Dennis,Ross,R,15,FL,1212.0,177.0,8,14.6,98.26,FL-15
355,R000598,Keith,Rothfus,R,12,PA,1212.0,4.0,6,0.33,96.27,PA-12
356,R000603,David,Rouzer,R,7,NC,1212.0,21.0,4,1.73,94.54,NC-7
357,R000486,Lucille,Roybal-Allard,D,40,CA,1212.0,32.0,26,2.64,95.68,CA-40
358,R000487,Edward,Royce,R,39,CA,1212.0,22.0,26,1.82,96.89,CA-39
359,R000599,Raul,Ruiz,D,36,CA,1212.0,5.0,6,0.41,91.96,CA-36
360,R000576,C.A. Dutch,Ruppersberger,D,2,MD,1212.0,24.0,16,1.98,91.92,MD-2
361,R000515,Bobby,Rush,D,1,IL,1212.0,267.0,26,22.03,93.86,IL-1
362,R000604,Steve,Russell,R,5,OK,1212.0,68.0,4,5.61,95.45,OK-5
363,R000609,John,Rutherford,R,4,FL,1212.0,67.0,2,5.53,95.9,FL-4
364,R000577,Tim,Ryan,D,13,OH,1212.0,80.0,16,6.6,94.52,OH-13
365,R000570,Paul,Ryan,R,1,WI,1212.0,1182.0,20,97.52,86.67,WI-1
366,S001177,Gregorio,Sablan,D,At-Large,MP,0.0,,10,,,MP-At-Large
367,S001156,Linda,Sánchez,D,38,CA,1212.0,31.0,16,2.56,95.68,CA-38
368,S000051,Mark,Sanford,R,1,SC,1212.0,40.0,6,3.3,83.19,SC-1
369,S001168,John,Sarbanes,D,3,MD,1212.0,11.0,12,0.91,95.34,MD-3
370,S001176,Steve,Scalise,R,1,LA,1212.0,353.0,12,29.13,98.72,LA-1
371,S001205,Mary,Scanlon,D,7,PA,84.0,1.0,2,1.19,97.59,PA-7
372,S001145,Jan,Schakowsky,D,9,IL,1212.0,11.0,20,0.91,93.59,IL-9
373,S001150,Adam,Schiff,D,28,CA,1212.0,6.0,18,0.5,95.69,CA-28
374,S001190,Brad,Schneider,D,10,IL,1212.0,12.0,2,0.99,87.08,IL-10
375,S001180,Kurt,Schrader,D,5,OR,1189.0,22.0,10,1.85,87.4,OR-5
376,S001183,David,Schweikert,R,6,AZ,1212.0,8.0,8,0.66,95.6,AZ-6
377,S001189,Austin,Scott,R,8,GA,1212.0,24.0,8,1.98,96.8,GA-8
378,S001157,David,Scott,D,13,GA,1212.0,92.0,16,7.59,91.7,GA-13
379,S000185,Robert,Scott,D,3,VA,1212.0,12.0,26,0.99,93.75,VA-3
